entry_time,exit_time,entry_index,exit_index,side,entry_price,exit_price,pnl,exit_reason,is_win,is_win_int,entry_hour,duration_minutes
2025-05-19 17:01:10.840214+00:00,2025-05-19 17:07:45.668040+00:00,1094,1110,LONG,21501.25,21531.723636257684,121.14454503073648,TAKE_PROFIT,True,1,17,6.580463766666667
2025-05-19 17:08:08.220867+00:00,2025-05-19 17:17:09.230332+00:00,1112,1131,LONG,21536.0,21524.17992290611,-48.03030837555707,STOP_LOSS,False,0,17,9.016824416666667
2025-05-19 17:25:24.672116+00:00,2025-05-19 17:30:05.956322+00:00,1144,1152,LONG,21535.25,21520.253277187127,-60.736891251493944,STOP_LOSS,False,0,17,4.6880701
2025-05-19 17:34:55.518379+00:00,2025-05-19 17:40:48.565019+00:00,1164,1172,LONG,21540.25,21521.411752131615,-76.1029914735409,STOP_LOSS,False,0,17,5.884110666666667
2025-05-20 17:50:14.016337+00:00,2025-05-20 17:55:01.257158+00:00,2463,2472,SHORT,21418.75,21433.52509636736,-59.8503854694427,STOP_LOSS,False,0,17,4.787347016666667
2025-05-20 20:06:27.963487+00:00,2025-05-20 20:08:20.493435+00:00,2772,2774,LONG,21433.0,21412.905868940386,-81.1265242384543,STOP_LOSS,False,0,20,1.8754991333333335
2025-05-21 17:17:28.216001+00:00,2025-05-21 17:19:13.611508+00:00,3931,3948,SHORT,21396.0,21347.796248101484,192.0650075940648,TAKE_PROFIT,True,1,17,1.7565917833333333
2025-05-21 17:20:12.268465+00:00,2025-05-21 17:22:23.054680+00:00,3957,3979,SHORT,21352.25,21304.32328115837,190.95687536652258,TAKE_PROFIT,True,1,17,2.17977025
2025-05-21 17:22:25.045921+00:00,2025-05-21 17:26:16.733026+00:00,3980,4018,SHORT,21299.75,21236.03239691575,254.1204123369971,TAKE_PROFIT,True,1,17,3.86145175
2025-05-21 17:26:22.652207+00:00,2025-05-21 17:26:40.581767+00:00,4020,4024,SHORT,21222.0,21244.125706810126,-89.2528272405034,STOP_LOSS,False,0,17,0.298826
2025-05-21 17:29:31.455217+00:00,2025-05-21 17:31:59.734407+00:00,4048,4080,SHORT,21207.0,21230.34465226043,-94.12860904172703,STOP_LOSS,False,0,17,2.4713198333333333
2025-05-21 17:35:11.345296+00:00,2025-05-21 17:37:08.217648+00:00,4111,4125,SHORT,21245.0,21267.86446162849,-92.20784651396389,STOP_LOSS,False,0,17,1.9478725333333335
2025-05-21 17:39:54.246207+00:00,2025-05-21 17:43:50.840127+00:00,4145,4167,SHORT,21325.75,21283.456286648427,168.42485340629355,TAKE_PROFIT,True,1,17,3.943232
2025-05-21 17:46:17.830174+00:00,2025-05-21 17:46:24.196479+00:00,4180,4181,SHORT,21261.5,21284.14283518298,-91.3213407319272,STOP_LOSS,False,0,17,0.10610508333333332
2025-05-22 17:15:01.584463+00:00,2025-05-22 17:16:27.606559+00:00,6007,6010,SHORT,21198.75,21214.22691344481,-62.65765377924254,STOP_LOSS,False,0,17,1.4337016
2025-05-22 17:44:03.931040+00:00,2025-05-22 19:05:16.758581+00:00,6068,6210,LONG,21280.75,21330.246572830663,197.23629132265341,TAKE_PROFIT,True,1,17,81.21379234999999
2025-05-23 17:03:49.657712+00:00,2025-05-23 17:17:34.792519+00:00,7874,7908,LONG,20995.75,21044.41547366,193.91189463999763,TAKE_PROFIT,True,1,17,13.752246783333334
2025-05-23 17:17:43.930012+00:00,2025-05-23 17:40:57.498016+00:00,7909,7954,LONG,21049.75,21029.17567830845,-83.04728676620289,STOP_LOSS,False,0,17,23.2261334
2025-05-23 17:50:14.642152+00:00,2025-05-23 18:20:08.720775+00:00,7970,8027,LONG,21051.0,21032.974382431818,-72.85247027272999,STOP_LOSS,False,0,17,29.901310383333335
2025-05-23 20:01:37.537666+00:00,2025-05-25 22:00:22.126123+00:00,8252,8283,SHORT,20954.0,20974.57432169155,-83.04728676620289,STOP_LOSS,False,0,20,2998.74314095
2025-05-27 17:02:02.626318+00:00,2025-05-27 17:57:49.686380+00:00,9720,9788,LONG,21445.5,21475.050192734725,117.45077093889995,TAKE_PROFIT,True,1,17,55.78433436666667
2025-05-27 20:15:26.920567+00:00,2025-05-28 04:41:30.061044+00:00,10014,10109,SHORT,21472.25,21437.436179184402,138.50528326239146,TAKE_PROFIT,True,1,20,506.05234128333336
2025-05-28 17:02:14.432036+00:00,2025-05-28 17:37:39.155971+00:00,10882,10926,LONG,21478.25,21465.654230346823,-51.13307861270732,STOP_LOSS,False,0,17,35.41206558333333
2025-05-28 20:00:21.045485+00:00,2025-05-28 20:05:13.902043+00:00,11228,11240,SHORT,21351.25,21371.233317836857,-80.68327134742867,STOP_LOSS,False,0,20,4.8809426333333334
2025-05-28 20:10:50.655551+00:00,2025-05-28 20:18:32.871587+00:00,11247,11253,SHORT,21377.5,21397.815757505123,-82.01303002049099,STOP_LOSS,False,0,20,7.7036006
2025-05-28 20:20:05.073497+00:00,2025-05-28 20:21:42.901542+00:00,11255,11265,SHORT,21404.5,21436.89439878544,-130.32759514175996,STOP_LOSS,False,0,20,1.6304674166666666
2025-05-29 17:36:59.855561+00:00,2025-05-29 17:41:42.742850+00:00,12896,12906,SHORT,21407.5,21426.892313982164,-78.31925592865446,STOP_LOSS,False,0,17,4.71478815
2025-05-29 17:48:21.966247+00:00,2025-05-29 18:19:55.084490+00:00,12920,12990,SHORT,21394.25,21347.431413385922,186.52434645631,TAKE_PROFIT,True,1,17,31.551970716666666
2025-05-30 17:20:57.835705+00:00,2025-05-30 17:23:04.644180+00:00,14604,14610,SHORT,21150.25,21168.79274594104,-74.92098376415379,STOP_LOSS,False,0,17,2.1134745833333333
2025-06-02 17:01:12.931825+00:00,2025-06-02 17:21:55.757524+00:00,16123,16155,LONG,21459.0,21444.85284522825,-57.338619086993276,STOP_LOSS,False,0,17,20.71376165
2025-06-02 20:03:08.222557+00:00,2025-06-02 22:18:32.745100+00:00,16394,16424,LONG,21547.5,21530.36088821386,-69.30644714455411,STOP_LOSS,False,0,20,135.40870905
2025-06-03 17:17:34.679499+00:00,2025-06-03 17:31:06.075386+00:00,17342,17361,LONG,21749.75,21737.3019813105,-50.54207475800649,STOP_LOSS,False,0,17,13.523264783333333
2025-06-04 17:27:27.649085+00:00,2025-06-04 17:31:26.951744+00:00,18664,18669,LONG,21780.0,21768.992553206317,-44.77978717473161,STOP_LOSS,False,0,17,3.98837765
2025-06-04 17:35:16.372292+00:00,2025-06-04 17:38:31.398612+00:00,18674,18679,LONG,21779.75,21768.336238056214,-46.40504777514434,STOP_LOSS,False,0,17,3.2504386666666667
2025-06-04 17:45:55.059977+00:00,2025-06-04 19:50:00.027569+00:00,18691,18849,LONG,21775.25,21762.91279453325,-50.09882186699542,STOP_LOSS,False,0,17,124.0827932
2025-06-05 17:00:00.892808+00:00,2025-06-05 17:03:16.927114+00:00,20092,20110,SHORT,21679.5,21699.44638009594,-80.53552038375346,STOP_LOSS,False,0,17,3.267238433333333
2025-06-05 17:46:20.036253+00:00,2025-06-05 17:58:13.931697+00:00,20199,20224,SHORT,21767.5,21723.08236654562,176.9205338175234,TAKE_PROFIT,True,1,17,11.8982574
2025-06-06 17:02:42.944327+00:00,2025-06-06 17:18:24.714428+00:00,21775,21801,SHORT,21754.75,21769.155718958176,-58.372875832705176,STOP_LOSS,False,0,17,15.696168349999999
2025-06-06 17:44:54.648331+00:00,2025-06-06 18:03:04.236665+00:00,21842,21866,LONG,21814.5,21848.852099054115,136.65839621645864,TAKE_PROFIT,True,1,17,18.159805566666666
