symbol,total_return_pct,sharpe_ratio,profit_factor,win_rate_pct,total_trades,expectancy,max_drawdown_pct,total_pnl,final_equity,params,optimization_score
MBT,126.15,0.3570715776630728,2.722066753122654,58.333333333333336,12,1051.25,-42.78,12615.0,22615.0,"{'ema_fast': 23, 'ema_slow': 60, 'rsi_period': 10, 'rsi_overbought': 69.66473482573494, 'rsi_oversold': 24.877749830401207, 'atr_period': 18, 'atr_stop_multiplier': 2.4563362070328196, 'atr_target_multiplier': 5.66163822772898, 'min_atr_threshold': 0.761100895226729}",53.06301411883841
MNQ,13.65,0.19760613651841386,1.931422722620266,56.00000000000001,25,54.6,-8.130202140309157,1365.0,11365.0,"{'ema_fast': 30, 'ema_slow': 47, 'rsi_period': 16, 'rsi_overbought': 74.48597192699006, 'rsi_oversold': 26.09950434470726, 'atr_period': 13, 'atr_stop_multiplier': 1.7392775974134462, 'atr_target_multiplier': 4.0093124617998335, 'min_atr_threshold': 0.9030625911440391}",17.217152478903134
MET,9.59,0.6768177412434733,6.794561933534744,75.0,12,79.91666666666666,-1.0316139767054908,959.0,10959.0,"{'ema_fast': 12, 'ema_slow': 93, 'rsi_period': 16, 'rsi_overbought': 68.36618549373118, 'rsi_oversold': 28.47040995235491, 'atr_period': 14, 'atr_stop_multiplier': 1.9327272320830395, 'atr_target_multiplier': 3.9803091201036644, 'min_atr_threshold': 0.2741692127638001}",29.669409320824002
MES,8.774999999999999,0.2073388661913528,1.9397590361445782,48.275862068965516,29,30.258620689655174,-3.047735618115055,877.5,10877.5,"{'ema_fast': 29, 'ema_slow': 79, 'rsi_period': 20, 'rsi_overbought': 78.93371699120263, 'rsi_oversold': 27.76078489591625, 'atr_period': 17, 'atr_stop_multiplier': 1.5643541007610033, 'atr_target_multiplier': 4.925587827520196, 'min_atr_threshold': 0.9097097134511949}",14.229415999833492
MYM,3.1225,0.12327276672747366,1.5616007194244603,40.0,25,12.490000000000002,-3.0352614946476972,312.25,10312.25,"{'ema_fast': 17, 'ema_slow': 97, 'rsi_period': 18, 'rsi_overbought': 73.97987726295555, 'rsi_oversold': 22.34027960663655, 'atr_period': 11, 'atr_stop_multiplier': 1.5871254182522991, 'atr_target_multiplier': 5.598528437324806, 'min_atr_threshold': 0.9415610164404923}",10.096947471353172
MGC,0.4239999999999782,0.07100358402318142,1.2774869109947677,48.0,25,1.696000000000021,-0.7575230042278005,42.39999999999782,10042.399999999998,"{'ema_fast': 10, 'ema_slow': 89, 'rsi_period': 15, 'rsi_overbought': 78.73607695825815, 'rsi_oversold': 20.599410607562827, 'atr_period': 14, 'atr_stop_multiplier': 1.9047351251812938, 'atr_target_multiplier': 4.697481931080679, 'min_atr_threshold': 1.3117618788409109}",10.303482162994031
