number,value,datetime_start,datetime_complete,duration,params_atr_period,params_atr_stop_multiplier,params_atr_target_multiplier,params_ema_fast,params_ema_slow,params_min_atr_threshold,params_rsi_overbought,params_rsi_oversold,params_rsi_period,state
27,6.078118564219575,2025-11-12 19:24:44.934516,2025-11-12 19:24:47.733804,0 days 00:00:02.799288,11,1.9678116086761366,5.05443520241145,30,78,0.8284542120114643,78.3591915619293,21.61883799826956,16,COMPLETE
28,9.142370821914653,2025-11-12 19:24:47.734802,2025-11-12 19:24:50.572897,0 days 00:00:02.838095,10,1.6864484107245783,4.545280197388234,21,47,0.9599905547610913,73.27506308940839,26.856637010619174,20,COMPLETE
29,8.667602520988437,2025-11-12 19:24:50.573898,2025-11-12 19:24:53.437288,0 days 00:00:02.863390,15,2.181332527351775,5.519515368544839,18,55,0.2926835309864091,75.20090031224879,24.295530207458114,19,COMPLETE
30,-inf,2025-11-12 19:24:53.438291,2025-11-12 19:24:56.363844,0 days 00:00:02.925553,14,1.820695199764101,3.600240181460905,14,92,0.6199319924696752,70.02690728939096,33.793931670343675,16,COMPLETE
31,7.496101425550267,2025-11-12 19:24:56.364844,2025-11-12 19:24:59.241348,0 days 00:00:02.876504,10,1.6988458166858489,4.598689895327482,21,45,0.9708107803927204,73.46255533754042,26.824128796145143,20,COMPLETE
32,7.377604253172281,2025-11-12 19:24:59.242348,2025-11-12 19:25:02.112718,0 days 00:00:02.870370,10,1.6340712508816626,4.287003134794712,20,46,0.8205458196668511,71.80661735009689,28.622329568149375,20,COMPLETE
33,-inf,2025-11-12 19:25:02.113719,2025-11-12 19:25:05.166283,0 days 00:00:03.052564,12,1.5880342328415358,3.1466727783649615,19,40,1.1633553219699322,74.124252415301,22.14374267860055,19,COMPLETE
34,-inf,2025-11-12 19:25:05.167283,2025-11-12 19:25:08.127466,0 days 00:00:02.960183,11,2.814080416737097,5.130042345438717,22,49,1.001102736686056,70.77971663402607,23.269406278073767,17,COMPLETE
35,4.0619269267021885,2025-11-12 19:25:08.128466,2025-11-12 19:25:11.130261,0 days 00:00:03.001795,20,1.8191277220265756,5.8933288296772846,24,54,0.501318168965589,73.33628401652541,25.04797971263975,18,COMPLETE
36,8.321795480571215,2025-11-12 19:25:11.131261,2025-11-12 19:25:14.053861,0 days 00:00:02.922600,10,2.575236023537543,5.486379381407959,21,46,0.7125702043486695,72.09917518328713,27.647081936458356,20,COMPLETE
37,2.377850728091235,2025-11-12 19:25:14.054861,2025-11-12 19:25:16.946612,0 days 00:00:02.891751,13,1.504563547943646,4.033597600595619,17,43,0.9088408775410284,76.2323380951449,30.66547684485775,19,COMPLETE
38,-inf,2025-11-12 19:25:16.947613,2025-11-12 19:25:20.166590,0 days 00:00:03.218977,19,2.1792978103062692,3.6767891147507874,23,62,1.1152080239833189,69.03245274803155,22.1175324681265,18,COMPLETE
39,7.454874256380632,2025-11-12 19:25:20.166590,2025-11-12 19:25:23.041706,0 days 00:00:02.875116,10,2.0223930646160353,4.647149131003805,27,71,0.8780460743254994,77.61615694969035,25.809387486530518,17,COMPLETE
40,8.048238321865112,2025-11-12 19:25:23.042706,2025-11-12 19:25:25.965951,0 days 00:00:02.923245,12,1.7116983836222541,4.408523157748905,20,82,1.368252937609189,79.31010060730742,32.96036706826506,20,COMPLETE
41,6.827695210074834,2025-11-12 19:25:25.966948,2025-11-12 19:25:28.911761,0 days 00:00:02.944813,12,1.5683221285502076,4.487947338879804,26,53,1.2063287405946892,77.07524545533961,28.326057631552974,20,COMPLETE
42,7.975850231333174,2025-11-12 19:25:28.912762,2025-11-12 19:25:31.995649,0 days 00:00:03.082887,11,1.5162010790393048,4.9998877159472395,28,58,1.2696186533762694,76.21437220884803,27.0898381983772,19,COMPLETE
43,9.494190724896955,2025-11-12 19:25:31.996650,2025-11-12 19:25:34.882748,0 days 00:00:02.886098,12,1.59698884776497,4.720731623848136,25,48,1.1027949395905863,75.29238180046877,24.26344184722633,20,COMPLETE
44,9.578860810104473,2025-11-12 19:25:34.882748,2025-11-12 19:25:37.794134,0 days 00:00:02.911386,11,1.6416423376486318,4.726776854637297,24,44,1.0716455948917991,75.27035065815352,24.22854253537256,19,COMPLETE
45,3.825718570701154,2025-11-12 19:25:37.794134,2025-11-12 19:25:40.743357,0 days 00:00:02.949223,13,1.781324500558797,4.171371236699192,25,43,1.072795727266798,75.04043938237541,23.872762115180524,11,COMPLETE
46,7.904602119087806,2025-11-12 19:25:40.744358,2025-11-12 19:25:43.661073,0 days 00:00:02.916715,12,1.6133917903402477,4.740190289435633,23,40,0.7563167517362916,75.65164591421167,20.53687730067208,19,COMPLETE
47,6.786782832587359,2025-11-12 19:25:43.661073,2025-11-12 19:25:46.631368,0 days 00:00:02.970295,11,1.8698984170976503,4.982965078223152,28,44,1.3327350571053602,77.750159224352,24.383102300398786,14,COMPLETE
48,4.154072685468176,2025-11-12 19:25:46.631368,2025-11-12 19:25:49.555828,0 days 00:00:02.924460,16,1.5822064170262746,5.228449287356343,26,50,1.0073556956968768,73.92483564276381,21.32874247958833,18,COMPLETE
49,2.8940924145402085,2025-11-12 19:25:49.556829,2025-11-12 19:25:52.489183,0 days 00:00:02.932354,12,1.9488211051597255,5.414725379068091,24,56,1.2274755766871377,72.52403412404163,25.316787857331345,19,COMPLETE
