number,value,datetime_start,datetime_complete,duration,params_atr_period,params_atr_stop_multiplier,params_atr_target_multiplier,params_ema_fast,params_ema_slow,params_min_atr_threshold,params_rsi_overbought,params_rsi_oversold,params_rsi_period,state
28,-inf,2025-11-12 19:20:11.162856,2025-11-12 19:20:13.119385,0 days 00:00:01.956529,14,2.3390829402320565,3.4973868341846233,13,84,0.30869395204592603,66.4245461833108,25.368772870798107,14,COMPLETE
29,10.600142661609414,2025-11-12 19:20:13.120383,2025-11-12 19:20:15.226075,0 days 00:00:02.105692,11,2.110016468036034,4.657399630940757,17,93,0.4980440176268671,68.98290919104127,26.946354042395047,19,COMPLETE
30,-inf,2025-11-12 19:20:15.227075,2025-11-12 19:20:17.118681,0 days 00:00:01.891606,16,2.593160034668763,4.53454682350757,15,75,0.16144482035718455,67.58397496199888,32.97926661509058,17,COMPLETE
31,12.661955511631898,2025-11-12 19:20:17.119681,2025-11-12 19:20:19.098130,0 days 00:00:01.978449,11,1.8304855593387317,4.350915023228509,12,99,1.0466410949754326,72.9837998885396,29.020489587669402,14,COMPLETE
32,22.37928811695386,2025-11-12 19:20:19.099130,2025-11-12 19:20:21.129088,0 days 00:00:02.029958,12,1.64182155468836,5.058888238975613,11,94,0.7070260256188329,70.35846141654763,30.116581883547216,15,COMPLETE
33,5.995009335547226,2025-11-12 19:20:21.130088,2025-11-12 19:20:23.114743,0 days 00:00:01.984655,13,1.6205057582544202,5.122209969646063,26,94,0.6704299003738923,69.90689596713094,30.209970710294993,18,COMPLETE
34,14.662529303003797,2025-11-12 19:20:23.115744,2025-11-12 19:20:25.165429,0 days 00:00:02.049685,12,1.9857476501696214,5.37126601410181,11,86,0.4282992694728381,68.53735696671701,24.185381429014008,15,COMPLETE
35,9.823490705918879,2025-11-12 19:20:25.166428,2025-11-12 19:20:27.134938,0 days 00:00:01.968510,14,1.6735367562823444,5.06033896159508,20,95,0.5559011507215721,66.94692013336962,30.773195160669005,16,COMPLETE
36,17.233522941237716,2025-11-12 19:20:27.135938,2025-11-12 19:20:29.127854,0 days 00:00:01.991916,12,1.5064037874475606,5.486379381407959,14,69,0.31667983428412666,72.13790570860692,29.65780729690737,15,COMPLETE
37,-inf,2025-11-12 19:20:29.128854,2025-11-12 19:20:31.021657,0 days 00:00:01.892803,13,2.1921178869908657,3.946539041462564,16,75,0.7788354137795881,74.71524665598376,27.685685115206642,15,COMPLETE
38,15.094580152077336,2025-11-12 19:20:31.022658,2025-11-12 19:20:33.000804,0 days 00:00:01.978146,14,1.8649119460136885,3.903826528894295,12,63,0.427090325915889,65.63604559232988,34.76651689961215,17,COMPLETE
39,19.39948285470801,2025-11-12 19:20:33.000804,2025-11-12 19:20:34.894391,0 days 00:00:01.893587,10,1.6045258311725537,4.57686940326888,10,91,0.32468663279725846,67.50583809991453,31.743051093279654,18,COMPLETE
40,13.042228999174736,2025-11-12 19:20:34.894391,2025-11-12 19:20:36.781243,0 days 00:00:01.886852,11,2.0656138925738694,5.196374111542225,19,51,0.17520749551854373,70.18028742206614,23.577728254433293,17,COMPLETE
41,23.089954396613248,2025-11-12 19:20:36.782243,2025-11-12 19:20:38.760257,0 days 00:00:01.978014,12,1.757640585485694,4.23020296113914,11,97,0.9091363882471726,71.02661823761358,28.671989399142927,13,COMPLETE
42,23.496736890589517,2025-11-12 19:20:38.761256,2025-11-12 19:20:40.679418,0 days 00:00:01.918162,12,1.783920033914769,4.187178313134467,11,97,1.1830114585669949,72.90699123622943,28.728212801524506,12,COMPLETE
43,24.295464264574242,2025-11-12 19:20:40.679418,2025-11-12 19:20:42.695983,0 days 00:00:02.016565,11,1.7036612183916215,4.909998738770954,11,92,1.1637493285442813,73.7429861334247,28.596631359141682,11,COMPLETE
44,22.973782735625875,2025-11-12 19:20:42.696984,2025-11-12 19:20:44.590897,0 days 00:00:01.893913,10,1.5833482454782206,4.873292271533769,11,97,1.2007097641478026,74.14538292070175,28.70298173428945,11,COMPLETE
45,25.80496040290566,2025-11-12 19:20:44.591897,2025-11-12 19:20:46.486374,0 days 00:00:01.894477,10,1.7889483199420022,4.89192873943873,10,97,1.1796657580193874,73.99410218159272,28.606924114472626,11,COMPLETE
46,25.919930320129783,2025-11-12 19:20:46.487377,2025-11-12 19:20:48.440929,0 days 00:00:01.953552,11,1.726640380005205,4.229900692861413,10,97,1.159943466750615,75.29931427392991,25.836232987315938,11,COMPLETE
47,25.3325371518849,2025-11-12 19:20:48.440929,2025-11-12 19:20:50.301675,0 days 00:00:01.860746,11,1.8094414179732314,3.9487236133270236,10,92,1.1325537812060567,75.71139005050726,25.93619175363517,11,COMPLETE
48,23.381529113316653,2025-11-12 19:20:50.302674,2025-11-12 19:20:52.336809,0 days 00:00:02.034135,11,1.8130425623342887,3.9802231533414876,10,91,1.139799422952942,75.53551097306472,26.295841304032216,11,COMPLETE
49,27.704540338519692,2025-11-12 19:20:52.337809,2025-11-12 19:20:54.238523,0 days 00:00:01.900714,10,1.7122387104069416,3.829169203797896,13,88,1.3477611111305612,77.30469561276513,25.045600790099122,11,COMPLETE
